도로종류,도로형태_대분류,도로형태,사고건수,사망자수,중상자수,경상자수,부상신고자수
일반국도,단일로,터널안,125,7,60,164,30
일반국도,단일로,교량위,185,14,79,240,17
일반국도,단일로,고가도로위,88,7,38,78,9
일반국도,단일로,지하차도(도로)내,243,16,100,288,17
일반국도,단일로,기타단일로,8043,316,2701,9416,742
일반국도,교차로,교차로내,5659,102,2063,6589,490
일반국도,교차로,교차로횡단보도내,363,21,169,215,22
일반국도,교차로,교차로부근,3339,59,983,4167,330
일반국도,기타,기타,987,15,296,1108,87
일반국도,불명,불명,13,1,1,12,1
지방도,단일로,터널안,40,0,11,54,6
지방도,단일로,교량위,73,4,26,76,6
지방도,단일로,고가도로위,20,1,9,22,2
지방도,단일로,지하차도(도로)내,149,11,67,148,15
지방도,단일로,기타단일로,6263,257,2145,6459,656
지방도,교차로,교차로내,5007,67,1787,5866,548
지방도,교차로,교차로횡단보도내,386,16,159,247,11
지방도,교차로,교차로부근,2064,29,560,2498,167
지방도,철길건널목,철길건널목,1,0,0,2,0
지방도,기타,기타,320,6,123,306,26
지방도,불명,불명,3,0,2,1,0
특별광역시도,단일로,터널안,260,6,77,383,41
특별광역시도,단일로,교량위,570,11,134,763,56
특별광역시도,단일로,고가도로위,319,2,74,418,31
특별광역시도,단일로,지하차도(도로)내,894,8,241,936,105
특별광역시도,단일로,기타단일로,38804,331,9347,40246,3978
특별광역시도,교차로,교차로내,23830,166,6914,25734,2461
특별광역시도,교차로,교차로횡단보도내,2966,47,1153,1942,180
특별광역시도,교차로,교차로부근,12652,74,2813,14391,1226
특별광역시도,철길건널목,철길건널목,1,1,0,0,0
특별광역시도,기타,기타,3721,14,846,3585,331
특별광역시도,불명,불명,29,0,3,27,2
시도,단일로,터널안,123,9,49,181,15
시도,단일로,교량위,235,8,83,250,18
시도,단일로,고가도로위,109,3,28,155,11
시도,단일로,지하차도(도로)내,709,24,236,750,39
시도,단일로,기타단일로,26332,443,7270,27442,2339
시도,교차로,교차로내,25822,224,7936,29538,2004
시도,교차로,교차로횡단보도내,2729,46,1196,1714,123
시도,교차로,교차로부근,11742,124,2853,13763,935
시도,철길건널목,철길건널목,1,0,0,1,0
시도,기타,기타,2419,18,592,2382,227
시도,불명,불명,8,0,0,6,3
군도,단일로,터널안,11,0,1,16,0
군도,단일로,교량위,55,0,26,52,16
군도,단일로,고가도로위,12,0,8,9,1
군도,단일로,지하차도(도로)내,191,7,90,150,16
군도,단일로,기타단일로,2856,136,1202,2307,227
군도,교차로,교차로내,3139,45,1270,3394,240
군도,교차로,교차로횡단보도내,122,4,67,62,5
군도,교차로,교차로부근,820,18,285,836,59
군도,기타,기타,438,10,133,425,35
군도,불명,불명,1,0,0,1,0
고속국도,단일로,터널안,190,18,81,379,49
고속국도,단일로,교량위,279,15,70,362,50
고속국도,단일로,고가도로위,8,1,6,10,1
고속국도,단일로,지하차도(도로)내,120,12,57,232,5
고속국도,단일로,기타단일로,3036,160,1141,4626,531
고속국도,교차로,교차로내,7,0,3,13,0
고속국도,교차로,교차로부근,11,1,3,12,0
고속국도,기타,기타,388,16,90,607,61
기타,단일로,터널안,22,0,11,39,4
기타,단일로,교량위,47,1,17,46,3
기타,단일로,고가도로위,16,0,3,20,3
기타,단일로,지하차도(도로)내,27,0,9,29,0
기타,단일로,기타단일로,3823,68,1087,3406,404
기타,교차로,교차로내,2514,26,714,2786,247
기타,교차로,교차로횡단보도내,180,3,60,121,15
기타,교차로,교차로부근,1091,8,255,1128,90
기타,기타,기타,2587,24,649,2381,223
기타,불명,불명,17,0,2,24,2
